id,name_ru,name_en,skill,how,fixes,level,load,solo_ok_default,popularity,coaches,sources
RG-03,«Ги» / «Гэ» / «Гаг» / «Гу» / «Гуг» («глуповатый» звук),Gee / Guh / Gug / Goo / Goog (dopey G-syllables),REGISTER,"Слоги с «г» чуть глуповатым, затемнённым звуком. «Гу» (закрытая «у») и «гаг» держат гортань ниже, «ги» даёт больше смыкания. 5-тоновая гамма, октавное арпеджио или полторы октавы (1-3-5-8-10-12-11-9-7-5-4-2-1), по полутонам через переход. В SLS это временный инструмент.","Гортань поднимается на переходе, тянется грудной, воздушный «разваливающийся» верх, провал в фальцет",средний,2,после показа педагогом,4,"Brett Manning, Seth Riggs, Roger Love, Kegan DeBoer","сырые №113, 118, 129, 145, 153 (часть про gug), 156, 165. https://www.scribd.com/document/343823750/Brett-Manning-s-Singing-Success ; https://singingsuccess.com/mastering-mix-is-a-manning-masterpiece/ ; https://www.foundationvocalcourse.com/pages/blog/what-i-learned-from-speech-level-singing-sls-and-why-it-doesnt-work ; Love, DeBoer — по памяти модели, не проверено"
RG-04,«Мам» на октаве и арпеджио: «глуповатый» или «вредный»,Mum (dopey / bratty) on octave scale / arpeggio,REGISTER,"Слог «mum» на октавной гамме или на 1-3-5-8-5-3-1 через переход. «Dopey»-версия с тёмным звуком нужна, когда гортань поднимается. «Bratty»-версия — когда нужно больше смыкания.","Высокая гортань (dopey), воздушный или распадающийся звук (bratty), разрыв регистров",средний,2,после показа педагогом,4,"Brett Manning, Seth Riggs, Roger Love, Kegan DeBoer","сырые №116, 128, 153 (часть про mum), 164. https://www.scribd.com/document/343823750/Brett-Manning-s-Singing-Success ; https://www.youtube.com/watch?v=F2VcHgA_tkw (по названию видео); Love, DeBoer — по памяти модели, не проверено"
RG-05,Сирены по диапазону и глиссандо фальцетом,Full range vocal sirens / falsetto slides / bridging sirens,REGISTER,"Плавное скольжение снизу вверх и обратно через переход, отдельно в фальцете. Тихо, без толчков. Дома только до верха урока (в оригинале через весь диапазон).","Разрыв между регистрами, негибкая гортань, узкий диапазон",новичок,2,после показа педагогом,4,"Dr Dan Robinson, Jaime Vendera, Madeleine Harvey, Robert Lunte","сырые №32, 103, 136, 141. Dr Dan (фрагмент оглавления курса): https://www.voiceessentials.com.au/courses/dr-dan-s-singing-warm-ups-and-vocal-cool-downs ; Harvey (НЕНАДЁЖНО: состав упражнений взят из сводки поиска, среди них ещё «transcending tones»): https://www.youtube.com/watch?v=temMd2x6ErE ; Vendera, Lunte — по памяти модели, не проверено. Близко к FR-02 и RG-01 стартового набора."
RG-06,"«Плач», всхлип, «детский плач»",Cry / Whimper / Sob / Baby cry,REGISTER,"Лёгкий «плачущий», поскуливающий звук на «wah», «ooh», «ee». Нисходящие фразы 5-1 и слайды через переход. У Ricci это имитация хныканья младенца для резонанса.","Жёсткий, кричащий верх. Гортань остаётся низкой, щитовидный хрящ наклоняется, верх становится мягким",средний,2,после показа педагогом,4,"Seth Riggs (SLS cry), Estill Voice Training (Sob), Justin Stoney, Felicia Ricci","сырые №73, 168. https://www.tumblr.com/mynameisfel (упоминание у Ricci, вторичный источник); https://www.estillvoice.com/ ; Riggs, Stoney — по памяти модели, не проверено"
RG-07,«Баб-баб-баб» на гамме,Bub scales,REGISTER,"Слог «bub» на гамме, звук слегка приглушённый. Взрывная B создаёт небольшое обратное давление. Можно стаккато или легато.","Слабое смыкание, разрыв регистров, мягкая точная атака, высокая гортань",новичок,1,после показа педагогом,2,"Brett Manning, Roger Love","сырые №119, 148, 159. https://singingsuccess.com/mastering-mix-is-a-manning-masterpiece/ (вторичный источник); Love — по памяти модели, не проверено"
RG-08,Цепочка «гу» → «го» → «ги» → «ба» → «на»,Progression goo → go → gee → ba → na,REGISTER,"Сначала закрытые слоги goo, go, gee. Когда они даются легко, переход к открытым ba и na.",Перенос связного голоса с закрытых гласных на открытые,средний,2,после показа педагогом,1,Brett Manning,сырой №120. https://singingsuccess.com/mastering-mix-is-a-manning-masterpiece/ (вторичный источник)
RG-09,"Проговаривание-пропевание BUB, MUM, NAY, NAAY, GUH",Speak-sing BUB / MUM / NAY / NAAY / GUH on 5-tone scale,REGISTER,Слоги по очереди произносятся речевым тоном на 5-тоновой гамме.,Грудной голос без форсирования,новичок,1,после показа педагогом,1,Brett Manning,сырой №117. https://singingsuccess.com/master-chest-voice/ (вторичный источник)
RG-10,«Ма» снизу вверх без усиления громкости,'Ma' exercise,REGISTER,"Слог «ma» поётся снизу вверх так, чтобы громкость не росла.","Громкость растёт с высотой, «дотягивание» верха",новичок,1,после показа педагогом,1,Seth Riggs,сырой №127. https://www.scribd.com/document/970815877/Speech-Level-Singing-by-Seth-Riggs (вторичный источник)
RG-11,Скольжение из грудного вверх с «ломкой» в головной,Chest-to-head slide with break,REGISTER,"Слайд из грудного вверх до предела, затем позволить голосу «сломаться» в головной. Ломку принять и изучить.","Страх перехода, не понятно, где граница регистров",новичок,2,после показа педагогом,1,Chris Liepe,сырой №50. https://jamplay.com/articles/5-guides/193-action-points-for-rock-singers-part-2 (статья автора). Дома не выше верха урока.
RG-12,VFE 2 и 3 Стемпла: глиссандо вверх и вниз на «knoll»,Vocal Function Exercises 2 & 3 — stretching and contracting glides on 'knoll',REGISTER,"Слайд от самой низкой ноты к самой высокой (VFE 2) и обратно (VFE 3) на слове «knoll». Губы округлены, тихо, по 2 раза.","Связки растягиваются и сокращаются, диапазон соединяется",новичок,1,после показа педагогом,1,Joseph Stemple (клинический протокол),"сырой №188. https://pubmed.ncbi.nlm.nih.gov/?term=Stemple+vocal+function+exercises+systematic+review (по памяти модели, не проверено)"
RG-13,«БВА» на октавном арпеджио («пробка» на губах),BWAH on octave arpeggio (bottle-stopper B),REGISTER,"Вдох «на 360°». Губы на «B» держат воздух, как пробка, затем звук «лопается» в «BWAH». Паттерн 1-3-5-8-8-8-8-5-3-1. Фокус у передней части губ, «рыбьи губы». Челюсть сзади отпущена, глотка раскрывается по мере подъёма.","Звук уходит вперёд «в маску», развиваются белт и микст, верх не проседает по интонации",средний,2,после показа педагогом,1,Felicia Ricci,сырой №65. https://mynameisfel.tumblr.com/post/101772460795/heres-another-lil-vocal-warmup-to-add-to-your (пересказ поста; сама страница заблокирована)
RG-14,«Крылья ангела»: сглаживание перехода,Angel's Wings,REGISTER,Смешивание регистров и чистый проход через passaggio (урок 6). Паттерн не найден.,"«Ломка» на переходе, неровные регистры",средний,2,после показа педагогом,1,Cheryl Porter,сырой №19. https://course.cherylportermethod.com/courses/823327/lectures/14965926 (оглавление курса)
RG-15,"«Послушай красивую песню», «Все подпевают», «Малиновка поёт»",Listen To The Pretty Song / Ev'rybody Sing Along / The Robin Sings,REGISTER,Серия урока 6: грудной соединяется с головным и микстом. В «The Robin Sings» добавлена позиция гласных на переходе.,"Регистры не смешиваются, нет микста",средний,2,после показа педагогом,1,Cheryl Porter,сырой №20. https://course.cherylportermethod.com/courses/823327/lectures/14965926 (оглавление курса)
RG-16,Распевка микста,Warm-Up Your Vocal Mix,REGISTER,"Распевка, в которой смешиваются грудной и головной регистры (2022). Слоги и паттерн не найдены.","Регистровые переломы, «ступенька» на переходе",средний,2,после показа педагогом,1,Madeleine Harvey,сырой №102. https://www.youtube.com/watch?v=InuHdlwkndg (по названию видео)
RG-17,«Сильвия Долорес»: продвинутое смешивание в подвижности,Silvia Dolores,REGISTER,Смешивание регистров вместе с подвижностью (урок 6).,Микст на подвижных пассажах,продвинутый,2,после показа педагогом,1,Cheryl Porter,сырой №21. https://course.cherylportermethod.com/courses/823327/lectures/14965926 (оглавление курса)
RG-18,Уплотнение микста,Thicken up your mixed voice,REGISTER,Экспериментальные «странные» звуки на нотах между верхом грудного и низом головного. Внимание и фокус важны не меньше самого звука.,Тонкий микст на средних верхних нотах,продвинутый,2,только с педагогом,1,Chris Liepe,сырой №58. https://chrisliepe.com/how-to-thicken-up-your-mixed-voice/ (вторичный источник)
RG-19,«Фаринкс»: фальцет с фарингальным резонансом,Farynx,REGISTER,"Фальцетное звучание с узким «твэнговым» фарингальным резонансом, затем соединение с грудным.","Бриджинг, построение верхнего микста",продвинутый,2,только с педагогом,1,Robert Lunte,"сырой №139. https://www.thevocaliststudio.com/ (по памяти модели, не проверено)"
RG-20,"Фрай, переходящий в головной голос",Vocal fry to head voice,REGISTER,"Тихий фрай на низу, из него слайд в головной голос с сохранением смыкания.","Воздушный верх, слабое смыкание",продвинутый,2,только с педагогом,2,"Robert Lunte, Jaime Vendera","сырой №182. https://www.youtube.com/@TheVocalistStudio (по памяти модели, не проверено). Фрай только по назначению (§2.6)."
RG-21,"Усиленный фальцет, переходящий в микст",Reinforced falsetto to mix,REGISTER,"Начать наверху фальцетом, постепенно добавлять плотность и яркость и спускаться через переход без переключения.","Разрыв между грудным и фальцетом, тонкий верх у мужчин",продвинутый,3,только с педагогом,1,Ken Tamplin,"сырой №181. https://www.youtube.com/@KenTamplinVocalAcademy (по памяти модели, не проверено)"
AG-01,"Разбор мелизма: медленно по нотам, потом в темп",Riff breakdown (slow → up to tempo),AGILITY,"Выписать ноты рифа, петь по одной, затем группами на «ah» или на слогах. Медленно под метроном, постепенно ускоряясь. Часто пентатоника 1-2-3-5-6.","«Смазанные» мелизмы, неточная интонация в быстрых пассажах",средний,2,после показа педагогом,2,"Natalie Weiss (Breaking Down the Riffs), Cheryl Porter","сырой №184. https://www.youtube.com/@natalieweiss (по памяти модели, не проверено)"
AG-02,Беглость: пентатоника и гамма на нону,Pentatonic / 9-note agility scales,AGILITY,"1-2-3-4-5-6-7-8-9-8-7-…-1 или пентатонические ходы на «ah», легато и стаккато, темп постепенно растёт.","Тяжёлый, негибкий голос",средний,2,после показа педагогом,2,"Mathilde Marchesi, Giuseppe Concone (классическая педагогика); эстрадные коучи без имён","сырой №185. https://pubmed.ncbi.nlm.nih.gov/?term=vocal+agility+singers (по памяти модели, ссылка общая). СОМНИТЕЛЬНО: американский YouTube-коуч не назван."
AG-03,Дуэт на подвижность «повтори за мной»,Vocal Agility Duet (repeat after me),AGILITY,"Коуч поёт короткую фразу, ученик повторяет. Фразы поднимаются по тональностям. Есть версии для сопрано и тенора и версия «runs & riffs».","Подвижность, точность, смена регистров, выносливость микста",средний,2,после показа педагогом,1,Cheryl Porter,сырой №25. https://www.youtube.com/watch?v=NO3Iw6bvYsQ (по названию видео). Формат совпадает с PI-02 стартового набора («повтор фраз»).
AG-04,«Ми лайк ту дэнс»: подвижность на «ми-ме-ма-мо-му»,Mi Like to Dance,AGILITY,"«mi mi mi mi – mi me ma mo mu» быстрым мелодическим рисунком под танцевальный бэкинг. Позиция стабильная, без напряжения.","Интонация, подвижность, резонанс",средний,2,после показа педагогом,1,Cheryl Porter,сырой №2. https://sonichits.com/video/Cheryl_Porter_Vocal_Coach/10_Minute_Daily_VOCAL_WORKOUT!_Vocal_Exercise_(subtitles) (подтверждено по таймкодам)
AG-05,Мелизмы на узкой гласной с согласными G или B,Riffs on narrow vowel with G/B onset,AGILITY,"Рифф поётся на узкой, не придыхательной гласной. Согласные G или B перед нотами «запечатывают» связки. Плюс «рыбьи губы» и контроль дыхания.","Неточные runs и riffs, утечка воздуха",средний,2,после показа педагогом,1,Felicia Ricci,сырой №76. https://www.goodreads.com/author/show/5251327.Felicia_Ricci/blog (пересказ блога)
AG-06,«Острое» мычание для мелизмов,Edgy hum,AGILITY,"Найти мычание с яркой, «колючей» окраской и исполнять на нём runs.","Нечёткие, тяжёлые мелизмы",средний,2,после показа педагогом,1,Eric Arceneaux,сырой №87. https://www.tiktok.com/@ericrcno?lang=en (описание в TikTok)
AG-07,«Я чувствую музыку»: свинговая подвижность,I Feel The Music,AGILITY,"Подвижный пассаж в свинговом ритме с упором на точность (урок 9, Agility & Intonation).","Подвижность, точность, чувство ритма",средний,2,после показа педагогом,1,Cheryl Porter,сырой №24. https://course.cherylportermethod.com/courses/823327/lectures/14965929 (оглавление курса)
AG-08,«Девушка Гвидо»: открытые и закрытые гласные в пассаже,Guido's Girl,AGILITY,Открытые и закрытые гласные в подвижном пассаже (урок 10).,Позиция открытых и закрытых гласных в движении,средний,2,после показа педагогом,1,Cheryl Porter,сырой №23. https://course.cherylportermethod.com/courses/823327/lectures/14965930 (оглавление курса)
RA-01,"Губная трель на октавном арпеджио, полутора октавах и гамме Россини",Lip bubble on octave arpeggio / octave-and-a-half (Rossini) scale,RANGE,"Губная трель на 1-3-5-8-5-3-1, на арпеджио в полторы октавы или на полуторооктавной «гамме Россини», по полутонам. Тихо, ровно.","Расширяет диапазон, связывает регистры, верх берётся без напряжения",средний,2,после показа педагогом,4,"Brett Manning, Seth Riggs, Roger Love, Ken Tamplin","сырые №110, 123, 131 (часть), 142 (часть). https://singingsuccess.com/vocal-warmup-exercises/ ; https://singscales.com/singing-for-the-stars-by-seth-riggs/ (вторичные источники); Love, Tamplin — по памяти модели, не проверено. Дома не выше верха урока."
RA-02,Арпеджио на полторы октавы (базовый паттерн SLS),Octave-and-a-half arpeggio (base pattern),RANGE,"1-3-5-8-10-12-11-9-7-5-4-2-1 (упрощённо: до децимы или дуодецимы и обратно). На нём поются слоги SLS: трель, nay, mum, gee.",Голос проходит через первый и второй переход «одним регистром»,продвинутый,2,после показа педагогом,2,"Seth Riggs, Brett Manning","сырые №130, 167. https://www.scribd.com/document/970815877/Speech-Level-Singing-by-Seth-Riggs (вторичный источник). Паттерн лучше проверить. Дома обрезается по верху урока."
RA-03,Мажорная гамма до ноны вверх и вниз,Ascending and Descending Major Scale with a 9th,RANGE,"1-2-3-4-5-6-7-8-9-8-…-1 по полутонам. Упражнение №15 в Voice Essentials 1, есть и в курсе разогревов и заминок.","Диапазон, ровность по регистрам",средний,2,после показа педагогом,1,Dr Dan Robinson,сырой №31. https://www.voiceessentials.com.au/courses/dr-dan-s-singing-warm-ups-and-vocal-cool-downs (фрагмент оглавления)
RA-04,Повторы октав,Octave repeats,RANGE,"Скачки на октаву несколько раз подряд (1-8-1-8…), в конце гамма вниз. Слоги «mum», «gee», «nay» или трель. Средний темп.","На верхней ноте теряется соединение регистров, гортань поднимается",продвинутый,2,после показа педагогом,2,"Brett Manning, Seth Riggs (SLS)","сырой №166. https://www.youtube.com/@SingingSuccess (по памяти модели, точный паттерн не проверен)"
RA-05,Гамма на полторы октавы на «но»/«а» с речевой гортанью,Speech-level singing on 'No' / 'Ah' (one-and-a-half octave scale),RANGE,"После согласных слогов перейти на открытые гласные и петь полторы октавы, сохраняя ощущение спокойной «речевой» гортани.",Выстроенный микст переносится на гласные и песню,средний,2,после показа педагогом,1,Roger Love,"сырой №149. https://rogerlove.com (по памяти модели, не проверено)"
RA-06,«Уханье обезьяны»,Monkey hoot,RANGE,Звонкое «ухающее» «ху-ху» в высокой позиции. Нотный паттерн не найден.,Резонанс и расширение диапазона вверх,средний,2,после показа педагогом,1,Felicia Ricci,сырой №74. https://www.tumblr.com/mynameisfel (вторичный источник)
RA-07,Язык вперёд в ответ на звук,Tongue forward in response to sound,RANGE,"Изолировать язык и приучить его выдвигаться вперёд при подъёме звука, чтобы освободить место и улучшить тембр.","Зажатые переходы по диапазону, узкий тембр наверху",средний,2,после показа педагогом,1,Madeleine Harvey,сырой №99. https://www.youtube.com/watch?v=VdhvIO1f4Qk (описание урока)
RA-08,Разогрев для высоких нот на фрагментах любимых мелодий,Foolproof Daily Warmup for Singing High (melody-fragment warm-up),RANGE,"Вместо изнуряющих гамм петь куски любимых мелодий там, где голосу удобно, и постепенно расширять. У нас расширение только до верха урока.","Челюсть и шея зажаты после разогрева, голос быстро «выгорает» на верхах",новичок,1,да,1,Chris Liepe,сырой №56. https://chrisliepe.com/foolproof-daily-warmup-for-singing-high/ (подтверждено)
RA-09,"Простое упражнение, чтобы добавить ноты в диапазон",Add notes to your range (simple exercise),RANGE,"Простое упражнение, чтобы петь выше без напряжения (видео, сентябрь 2021). Суть не раскрыта.",Напряжение на верхах,средний,2,после показа педагогом,1,Chris Liepe,сырой №57. https://chrisliepe.com/how-to-easily-add-notes-to-your-range/ (по названию видео)
RA-10,Профессиональная распевка 2: расширение диапазона,Professional Vocal Warmup 2 – Increasing Vocal Range,RANGE,Распевка в формате «пой вместе». Паттерны не найдены.,Узкий диапазон,средний,2,после показа педагогом,1,Eric Arceneaux,сырой №92. https://www.youtube.com/watch?v=L5_-kvfsiGE (по названию видео)
RA-11,Гамма и арпеджио на полторы октавы на «А» полным голосом,Octave-and-a-half / arpeggio scales on 'Ah' (full voice),RANGE,"1-3-5-8-5-3-1 или шире на открытой гласной, полным голосом, наверху гласная модифицируется.",Грудное или смешанное звучание проводится через переход,средний,3,только с педагогом,1,Ken Tamplin,"сырой №133. https://www.kentamplinvocalacademy.com/ (по памяти модели, не проверено). Громко и на краях — только по назначению."
RA-12,Высокий микст (урок),How to Sing High Mix,RANGE,"Детали не найдены, известно только название видео.",Развитие высокого микста,продвинутый,3,только с педагогом,1,Brett Manning,сырой №122. https://www.youtube.com/watch?v=j0CvItiNMsA (по названию видео)
RA-13,Поиск свистового регистра,Whistle register finding,RANGE,Как найти свистовые тоны и использовать их в обычном пении.,Нет доступа к свистовому регистру,продвинутый,3,только с педагогом,1,Chris Liepe,сырой №62. https://chrisliepe.com/how-to-find-use-your-whistle-register-tones/ (по названию видео). RANGE_EDGE — только прямое назначение.
DI-01,"Скороговорки и согласные («red leather, yellow leather», «ма-ме-ми-мо-му»)",Tongue twisters / consonant drills,DICTION,"Сначала проговорить, затем пропеть на одной ноте и на 1-2-3-4-5, темп постепенно растёт.",Невнятная дикция,новичок,1,да,1,"Matt Ramsey (+ традиционная практика, многие коучи)","сырой №194. https://www.youtube.com/@RamseyVoiceStudio (по памяти модели, не проверено). Соответствует VO-02 стартового набора."
DI-02,Модифицированный текст: удобные гласные в песне,Modified lyrics / vowel modification in songs,DICTION,"Слова песни переписываются удобными для пения гласными, которые для слушателя звучат так же. Сложные места поются на этих гласных.","Трудно на высоких и белтовых нотах, зажим на закрытых гласных",средний,1,после показа педагогом,1,Felicia Ricci,сырой №79. https://www.oohowto.com/how-to-sing/how-to-sing-any-song-modified-lyrics-felicia-ricci/ (название видео и вторичное описание). Связано с RG-02.
DI-03,«Дэнс пати»: гласные и вибрато на фразе,Dance Party,DICTION,"Поётся фраза «hey everybody – get on up and dance», на последней длинной ноте держится вибрато.","Позиция гласных, артикуляция, устойчивое вибрато",средний,2,после показа педагогом,1,Cheryl Porter,сырой №3. https://sonichits.com/video/Cheryl_Porter_Vocal_Coach/10_Minute_Daily_VOCAL_WORKOUT!_Vocal_Exercise_(subtitles) (подтверждено по таймкодам)
VI-01,Вибрато: от пульсации к свободному вибрато,Vibrato pulsing ('ha-ha' pulses → free vibrato),VIBRATO,"Долгая нота с мягкими пульсациями тона около полутона. Постепенно ускорять, затем «отпустить» в естественное вибрато.",Прямой зажатый звук или «козлетон»,средний,2,после показа педагогом,2,"Eric Arceneaux, Justin Stoney","сырой №195. https://www.youtube.com/@NewYorkVocalCoaching (по памяти модели, не проверено)"
VI-02,«Почувствовать вибрато»,Vibrato experience exercise,VIBRATO,"Вибрато как координация трёх зон: поток воздуха, колебание связок, форма тракта. Упражнение помогает почувствовать вибрато в своём звуке. Паттерн не найден.","Плоский прямой звук, зажатое вибрато",средний,2,после показа педагогом,1,Dr Dan Robinson,сырой №43. https://www.djarts.com.au/singing-tips/how-to-sing-with-vibrato/ (вторичный источник)
VI-03,Советы по вибрато,Vibrato tips,VIBRATO,Простые советы по развитию вибрато для самостоятельной работы. Конкретные упражнения не подтверждены.,Прямой зажатый звук без вибрато,средний,2,после показа педагогом,1,Madeleine Harvey,сырой №108. https://www.youtube.com/playlist?list=PLCjFkNvpVPwBxAA0ULISbIMpYliNYhFDh СОМНИТЕЛЬНО: авторство подтверждено слабо
ST-01,Белт на «йе» и «хэй» от разговорного оклика,Belt on 'yeah' / 'hey' (speech-level call),STYLE,"Начать с разговорного оклика «hey!» на удобной высоте, затем 5-3-1 или 1-3-5 на «yeah» в разрешённом диапазоне.",Крик вместо белта,продвинутый,3,только с педагогом,3,"Estill Voice Training (Belt), Justin Stoney, Kegan DeBoer (Jacobs Vocal Academy)","сырой №191. https://www.youtube.com/@NewYorkVocalCoaching (по памяти модели, не проверено). Белт только по назначению (§2.6)."
ST-02,"Режимы CVT: Neutral, Curbing, Overdrive, Edge",CVT modes drills (Neutral / Curbing / Overdrive / Edge),STYLE,"Каждый режим на своих гласных: Curbing — «i», «o», «u» с «хныком»; Edge — «ae», «i» ярко; Overdrive — «e», «o» как крик. Опора и «necessary twang», челюсть не выдвигать.","Громкость и характер без травм, понимание белта",продвинутый,3,только с педагогом,1,Cathrine Sadolin (Complete Vocal Technique; датская школа),"сырой №190. https://completevocal.institute/ (по памяти модели, не проверено). Overdrive и Edge — нагрузка 3."
ST-03,Месса ди воче (филировка p → f → p на одной ноте),Messa di voce,STYLE,Одна нота в середине диапазона: crescendo от p до mf или f и обратно diminuendo при ровном тембре.,"Нет контроля динамики и опоры, регистры не сбалансированы",продвинутый,3,только с педагогом,2,"Manuel Garcia, Mathilde Marchesi (бел канто)",сырой №186. https://pubmed.ncbi.nlm.nih.gov/?term=messa+di+voce (по памяти модели). По таксономии VF это DYNAMICS. СОМНИТЕЛЬНО: не YouTube-коуч.
ST-04,"Динамика: как петь мощнее, часть 3","Dynamics (How to sing with more power, Part 3)",STYLE,Урок о динамике (громче и тише) как части силы голоса. Детали не найдены.,"Однообразная громкость, силовое форсирование",средний,2,после показа педагогом,1,Madeleine Harvey,сырой №101. https://www.youtube.com/watch?v=wcxmWqfj2uk (по названию видео). По таксономии VF это DYNAMICS: в v1 только фрагменты урока.
ST-05,Белтинг высоких нот,How to belt high notes – vocal exercise,STYLE,Видео 2018 года. Содержание не найдено.,Белтинг высоких нот,средний,3,только с педагогом,1,Madeleine Harvey,сырой №104. https://www.youtube.com/watch?v=u4PWEvQ0KYY (по названию видео)
ST-06,Три упражнения с вокальным фраем как эффектом,Three Vocal Fry Singing Exercises,STYLE,Осознанно включать фрай как эффект (утром он даётся легче). Сами три паттерна не найдены.,Контролируемый фрай как стилевой приём,средний,2,только с педагогом,1,Dr Dan Robinson,сырой №37. https://www.djarts.com.au/singing-tips/vocal-fry-singing-3-vocal-fry-singing-exercises/ (по названию видео)
ST-07,Ежедневный трёхступенчатый разогрев для дисторшна,Easy Daily Warmup for Distortion (Foolproof 3 Stages),STYLE,"Три ступени, на которых гроул и дисторшн постепенно «отпускаются», а не продавливаются. Ежедневно в течение пары недель. Содержание ступеней не найдено.","Травматичное продавливание скрима, нестабильный дисторшн",продвинутый,3,только с педагогом,1,Chris Liepe,сырой №47. https://chrisliepe.com/easy-daily-warmup-for-distortion-screaming-aggressive-vocals/ (вторичный источник)
ST-08,"Дрилл «Хах»: стоп, фрай, дисторшн",'Huh' stop-and-fry distortion drill,STYLE,"Короткие «huh, huh» с резкой остановкой воздуха («как будто ударили в живот»), продолжение во фрай и «воздушные щелчки». Затем та же позиция с «ведьминым» носовым оттенком и перенос в головной.","Поиск безопасного дисторшна, опора под эффектом",продвинутый,3,только с педагогом,1,Chris Liepe,сырой №48. https://isaacaskew.com/2025/08/26/unlocking-vocal-distortion-with-chris-liepe-my-experience-and-key-takeaways/ (подтверждено: описание ученика)
ST-09,«Йодль» для включения ложных связок,False-cord 'yodel' routine,STYLE,"Практика на технике «йодля», которая включает ложные связки для скрима. Из платного курса, детали закрыты.",Поиск безопасного скрима и гроула,продвинутый,3,только с педагогом,1,Chris Liepe,сырой №64. https://www.mymusicalvoice.com/p/the-aggressive-vocalist-s-master-plan-of-attack (описание курса)
SOVT-01,"Губная трель («лип-бабл», «лошадка») на пятинотной гамме","Lip trill / Lip bubble / Lip roll (5-tone scale) — incl. Brew Hill, tone-first lip bubble",WARMUP,"Губы вибрируют на выдохе («брр»), при этом звучит тон. Паттерн 1-2-3-4-5-4-3-2-1 или 5-4-3-2-1, по полутонам. Громкость mp, средний темп. Двумя пальцами можно поддержать щёки. Тон должен звучать громче воздуха (Dr Dan). Если трель «ломается», выдох неровный (Arceneaux).","Зажатая гортань, пережатый или неровный выдох, срывы и «ломка» на переходе, боль в горле. Выравнивает нагрузку на связки",новичок,1,да,10,"Brett Manning, Seth Riggs, Roger Love, Eric Arceneaux, Cheryl Porter, Dr Dan Robinson, Felicia Ricci, Ken Tamplin, Jaime Vendera, Cari Cole","сырые №1, 8, 27, 69, 80, 109, 123 (часть), 131, 135, 142, 150, 155, 160. Подтверждено: Porter https://sonichits.com/video/Cheryl_Porter_Vocal_Coach/10_Minute_Daily_VOCAL_WORKOUT!_Vocal_Exercise_(subtitles) ; Dr Dan https://www.djarts.com.au/singing-tips/lip-bubbles-lip-trills/ . Вторичные источники: Manning https://singingsuccess.com/lip-bubbles-trills/ ; Arceneaux https://flypaper.soundfly.com/tips/it-only-takes-5-minutes-to-master-these-3-simple-vocal-warm-up-exercises/ ; Ricci (оглавление курса); Riggs https://singscales.com/singing-for-the-stars-by-seth-riggs/ . Tamplin, Vendera, Love, Cole — по памяти модели, не проверено. Соответствует SOVT-01 стартового набора."
SOVT-02,Сирена на «нг»,NG siren / NG slide ('stretch your folds'),WARMUP,"Корень языка прижат к мягкому нёбу, как в конце «sing» или «hung». Плавный тихий слайд снизу вверх и обратно в удобном диапазоне (дома до верха урока). Вариант: «ng», раскрывающееся в гласную.","Разрыв регистров, зажим, не найден лёгкий головной голос, трудно подниматься вверх",новичок,1,да,7,"Felicia Ricci, Eric Arceneaux, Kegan DeBoer, Estill Voice Training, Justin Stoney, Matt Ramsey, Aaron Anastasi","сырые №68, 86, 152, 170. Ricci https://blog.stageagent.com/how-to-warm-up-before-singing/ (вторичный источник); Arceneaux https://www.patreon.com/ericarceneaux/posts/this-singing-up-140991844 (выдача поиска, урок «Stretch Your Folds»); DeBoer, Estill, Stoney, Ramsey, Anastasi — по памяти модели, не проверено. Соответствует SOVT-03 и FR-03 стартового набора."
SOVT-03,Язычковая трель (раскатистое «р»),Tongue trill / tongue roll,WARMUP,"Раскатистое «р» на тоне по тем же паттернам, что губная трель: 5 нот, 9-нотная гамма, октавные слайды. Если «р» не получается, помогает серия «д-д-д». Альтернатива для тех, у кого не выходит губная трель.","Зажатый корень языка, неровный выдох",новичок,1,да,5,"Brett Manning, Seth Riggs, Roger Love, Cari Cole, Jaime Vendera","сырые №111, 124, 143, 162. https://singingsuccess.com/vocal-warmup-exercises/ ; https://singscales.com/singing-for-the-stars-by-seth-riggs/ (вторичные источники); Love, Cole, Vendera — по памяти модели, не проверено"
SOVT-04,Губная трель: сирена на октаву и шире,Lip trill octave siren / glide,WARMUP,"Трель с плавным слайдом 1→8→1, затем шире, до полутора октав, без толчков и тихо. У Dr Dan сирены идут после ровной ноты, потом арпеджио и мелизмы.","Разрыв регистров, форсированный верх",новичок,1,да,5,"Seth Riggs (SLS), Eric Arceneaux, Felicia Ricci, Matt Ramsey, Dr Dan Robinson","сырые №161, 27 (часть про сирены). Dr Dan подтверждено: https://www.djarts.com.au/singing-tips/lip-bubbles-lip-trills/ ; остальные по памяти модели: https://www.youtube.com/@EricArceneaux (не проверено). Соответствует SOVT-01 стартового набора («губная трель-глиссандо»)."
