title,authors,year,venue,method,sample,topic,relevance,link,fulltext_url,why_relevant
2024 MTNA Member Survey: Summary Data & Insights,"Music Teachers National Association (Thickstun K., Greene R.; letter by Shepard B.)",2024,MTNA (industry report),"Benchmarking online survey (Oct–Dec 2024) in three tracks (independent studio, higher education, teaching staff), with open comments from 411 members; compared with the 2005 and 2020 surveys","USA: 2,719 MTNA members (2,815 independent-studio track responses, 311 higher education, 295 teaching staff); mostly piano teachers","Independent music studios: rates, policies, make-up lessons, online teaching, hours spent on business tasks, challenges for the next five years",4,https://www.mtna.org/Business_Resources.html,https://www.mtna.org/_Library/_documents/MemberSurvey2024_Summary.pdf,"Read in the PDF: average hourly independent-studio rate is $65.72 (median $60), and about 2.8 hours a week go to bookkeeping and business tasks. Open comments list struggles to earn a sustainable income, keeping students engaged in the digital age, parents who do not understand the value of lessons, teacher burnout, overscheduled students who miss lessons, weak motivation, and a need for more options for adults and online-only students. This is direct evidence of private-teacher pains (business admin, retention, motivation), though piano-heavy."
A Study in Effective Teaching Methods for Jazz Voice Technique in Higher Education,"McLean, Jenna",2021,"Doctor of Arts dissertation, University of Northern Colorado (ERIC ED666541)",Qualitative: interviews with experienced jazz voice educators,20 jazz voice teachers in higher education (mostly USA),"Voice pedagogy for CCM/jazz: vocal technique, trends in private instruction, curricula",4,https://digscholarship.unco.edu/dissertations/754/,https://digscholarship.unco.edu/cgi/viewcontent.cgi?article=1749&context=dissertations,Shows the gap in pedagogical knowledge for contemporary styles and the wide variety of teaching approaches. This matters for a product that serves pop/CCM singers. The landing page says the PDF is open; direct curl returns 403 (bot protection) but it opens in a browser.
Interpersonal Practices in Individualized Voice Teaching: A Mixed-method Study of Pedagogical Similarities and Differences between Teachers of Singing and Speech-language Pathologists,"Smith, Brianna",2021,"PhD dissertation (Vocal Pedagogy), University of Nebraska–Lincoln",Mixed methods (survey plus qualitative data),Teachers of singing and speech-language pathologists; exact numbers not clear from the landing page,"Interpersonal practices, feedback and the teacher–student relationship in one-to-one voice teaching",4,https://digitalcommons.unl.edu/musicstudent/161,https://digitalcommons.unl.edu/cgi/viewcontent.cgi?article=1162&context=musicstudent,"Produces an inventory of positive interpersonal practices in one-to-one voice teaching, relevant to how feedback is built into the product. The landing page shows the PDF as downloadable (9.3 MB); direct fetch returns 403."
Can't sing? Won't sing? Aotearoa/New Zealand 'tone-deaf' early childhood teachers' musical beliefs,"Nicola Swain, Sally Bodkin-Allen",2014,British Journal of Music Education,Опрос (количественные и открытые вопросы),"40 педагогов дошкольного образования, называющих себя «tone-deaf»; Новая Зеландия","Tone deaf как самоярлык, стыд, истоки убеждений",4,https://doi.org/10.1017/S0265051714000278,,"Прочитана только аннотация (ERIC EJ1047069). Участники считают себя немузыкальными и стесняются пения. Убеждения сложились через друзей, семью и школу. Поют по работе, но с чувством неловкости. Цитат нет."
Developing singing confidence in early childhood teachers using Acceptance and Commitment Therapy and group singing: A randomized trial,"Nicola Swain, Sally Bodkin-Allen",2017,Research Studies in Music Education,Рандомизированное испытание: ACT (разговорная терапия) против группового пения,"40 педагогов, называющих себя uncertain singers; Новая Зеландия",Вмешательства для повышения singing confidence,4,https://doi.org/10.1177/1321103X17700141,,"Прочитана только аннотация (ERIC EJ1141208). Оба подхода значимо повышают уверенность; групповое пение лучше снижает ощущение «tone-deafness». Доказательство, что самоярлык меняется за короткий курс."
To Sing or Not to Sing: A study on the development of 'non-singers' in choral activity,"Helen Richards, Colin Durrant",2003,Research Studies in Music Education 20,"Наблюдение в течение 7 месяцев, анкеты, интервью",Взрослые non-singers в классе пения при учреждении образования для взрослых; Великобритания (число из аннотации неясно),"Развитие non-singers, миф «либо умеешь, либо нет»",4,https://doi.org/10.1177/1321103X030200010501,,"Прочитана только аннотация (Crossref). Пение развивается, и отношение меняется при бережном руководстве. Ключевая старая работа. По ссылке во вторичном источнике (Bodkin-Allen 2019) авторы пишут, что заявлять о неспособности петь ""culturally acceptable and even cool"". Цитат участников нет."
"Lived Experiences of Adult Caregiver ""Nonmusicians"" and ""Nonsingers"" in Early Childhood Music Classes","Karen Salvador, Saleel Adarkar Menon","2024 (online), 2025 (issue)",Journal of Research in Music Education,"Феноменология, интервью в течение 10-недельного курса","6 взрослых (родители), называющих себя nonmusicians/nonsingers; США (из аннотации)","Self-identified tone deaf (около 17% взрослых), изменение отношения к своему голосу",4,https://doi.org/10.1177/00224294241247578,,"Прочитана только аннотация. Участники изменили представление о том, кто такой музыкант, лучше относятся к своему голосу, больше получают удовольствия от пения и охотнее поют. Цитат нет."
"Establishing an empirical profile of self-defined ""tone deafness"": Perception, singing performance and self-assessment","Karen J. Wise, John A. Sloboda",2008,Musicae Scientiae 12(1),"Эксперимент и самооценка: перцептивные и певческие тесты, сравнение с контрольной группой","13 взрослых, считающих себя tone deaf, и контрольная группа; Великобритания",Tone deafness как самоярлык и реальные способности,4,https://doi.org/10.1177/102986490801200102,,"Прочитана только аннотация. Около 17% взрослых на Западе называют себя tone deaf, но большинство из них не страдает амузией. В обиходе tone deaf означает «плохо пою». Самоярлык расходится с реальными навыками — ключевой аргумент для продукта. Версии на ResearchGate и Academia не проверялись."
Why Do Singers Use Imagery?,"DeSantis, Brianna; Deck, Sarah; Hall, Craig; Roland, Sophie",2022,Research Studies in Music Education (ERIC EJ1351568),"Анкета собственной разработки: 4 субшкалы (техника, тревожность, цели, образ персонажа)","Певцы-студенты и профессионалы; размер и страна в аннотации не указаны (авторы из Western University, Канада)",Использование образов певцами,4,https://doi.org/10.1177/1321103X221081984,,"Певцы чаще всего используют образы для передачи персонажа и чувства, реже для целей, вокальной техники и тревожности. Различий между студентами и профессионалами нет. Уточняет, где образы реально работают. Связанная диссертация DeSantis «See It and Believe It» есть в открытом репозитории ir.lib.uwo.ca/etd/7489 (не проверял)."
Characteristics of Expert Vocalists' Practice,"Summitt, Nancy L.; Weidner, Brian N.",2022,International Journal of Music Education (ERIC EJ1348914),Опрос (Vocal Practice Survey) с открытыми комментариями,"79 преподавателей вокала в вузах и участников профессиональных хоров; вероятно, США (в аннотации не указано)","Практика вокалистов: планирование, длительность, стратегии, ресурсы",4,https://doi.org/10.1177/02557614211063996,,"Даже у экспертов практика сильно различается по частоте, длительности и структуре. Из ресурсов почти все используют фортепиано и зеркало, доминируют холистические стратегии. Даёт ориентир для функций домашней практики."
Students' Experience with Vocal Injury in Undergraduate Performing Arts Training Programs,"Suddeth, Christine J.; Flynn, Amanda",2025 (online 2022),Journal of Voice 39(2),Онлайн-опрос (распространялся через соцсети и email),Студенты бакалавриата исполнительских искусств с травмой голоса; США (Pace University); размер в аннотации не указан,"Травмы голоса, поддержка педагога и факультета",4,https://doi.org/10.1016/j.jvoice.2022.09.010,,"Выделяет роль отношений педагог–студент, сроков диагностики и работы всего факультета, когда студент восстанавливается после травмы голоса. Материал для темы здоровья голоса и сценария интервью."
Vocal Pedagogues Training Dysphonic Voices: Treatment Seeking Approaches and Practices,"Fleming, R.; Weekly, E. M.; Carroll, L. M.",2026 (online 2024),Journal of Voice 40(4),Онлайн-опрос членов профессиональных вокальных организаций,"786 педагогов вокала; вероятно, США (в аннотации не указано)",Здоровье голоса: работа педагогов с дисфонией; источники знаний о науке о голосе,4,https://doi.org/10.1016/j.jvoice.2024.03.007,,"48% педагогов работали с певцом после дисфонии или операции, но мало у кого есть подготовка логопеда. Педагоги делают упор на дыхание, логопеды — на резонанс и снижение фонотравмы. О науке о голосе педагоги узнают из журналов, конференций и от врачей. Крупная выборка."
A Survey of Equipment in the Singing Voice Studio and Its Perceived Effectiveness by Vocologists and Student Singers,"Gerhard, Julia; Rosow, David E.",2016,Journal of Voice 30(3),Два опроса: вокологи и студенты-вокалисты,26 вокологов и 66 студентов-вокалистов; США (University of Miami),Оборудование и технологии обратной связи в вокальной студии,4,https://doi.org/10.1016/j.jvoice.2015.03.012,,"По 11 из 17 предметов студенты оценивают полезность оборудования и технологий ниже, чем специалисты. Самыми эффективными обе группы считают клавиши и зеркало. Важно для позиционирования визуальной обратной связи."
Digital Listening Tools to Facilitate Children's Self-Regulation of Instrumental Music Practice,"Wan L., Crawford R., Jenkins L.",2023,Journal of Research in Music Education (ERIC EJ1367337),"множественный кейс-стади: полуструктурированные интервью и наблюдение за практикой, 22 недели","1 педагог фортепиано и 4 ученика 8–10 лет, Австралия","домашняя практика, саморегуляция, приложение для практики между уроками",4,https://doi.org/10.1177/00224294221093521,,"Проверка приложения для практики между уроками: цифровые инструменты помогают самостоятельной работе, но только при постоянной поддержке педагога. Прямой аналог продуктовой гипотезы. Полный текст закрыт; открыт сопутствующий обзор тех же авторов: https://files.eric.ed.gov/fulltext/EJ1438533.pdf"
Applied Music Studio Teachers in Higher Education: Evidence of Learner-Centred Teaching,"Ryan Daniel, Kelly A. Parkes",2019,Music Education Research,опрос,54 преподавателя индивидуальных занятий в вузах из 4 стран,индивидуальные занятия в вузах: педагогическая подготовка преподавателей,4,https://doi.org/10.1080/14613808.2019.1598345 (ERIC EJ1214743),,"Многие преподаватели индивидуальных занятий не учились педагогике формально, и это видно по тому, как они описывают своё преподавание. Аргумент за инструменты поддержки преподавателя, включая совместителей. Прочитана только аннотация."
"Instrumental and Vocal Teachers in the United Kingdom: Demographic Characteristics, Educational Pathways, and Beliefs about Qualification Requirements","Naomi Norton, Jane Ginsborg, Alinka Greasley",2019,Music Education Research,онлайн-опрос (закрытые и открытые вопросы),"496 преподавателей инструмента и вокала, Великобритания","преподаватели вне школы (частные, музыкальные службы, community-сектор): квалификация и подготовка",4,https://doi.org/10.1080/14613808.2019.1656181 (ERIC EJ1232413),,"Мало у кого есть педагогическая подготовка. Описаны профиль и карьерные пути вокальных и инструментальных педагогов в англоязычной стране. Прочитана только аннотация, по Unpaywall открытой версии нет."
Real-Time Feedback in the Singing Studio: An Innovatory Action-Research Project Using New Voice Technology,"Welch G.F., Howard D.M., Himonides E., Brereton J.",2005,Music Education Research 7(2),"Action research: дневники, наблюдения, интервью, аудио/видео уроков","2 педагога и их взрослые ученики (от любителей до профессионалов), 2 студии, Англия",Визуальная обратная связь в реальном времени (спектрограммы и т.п.) на уроке вокала,4,https://eric.ed.gov/?id=EJ691364,,"Ключевое (старое) качественное исследование: технология меняет поведение педагога и опыт ученика, делая обратную связь «более осмысленной». Прочитана только аннотация, цитат нет; открытый текст не найден"
Effects of Real-Time Visual Feedback on Pre-Service Teachers' Singing,"Leong S., Cheng L.",2014,Journal of Computer Assisted Learning 30(3),"Эксперимент (3 группы, 12 недель самостоятельной практики с Sing & See) + анкета","40 студентов — будущих учителей музыки (Гонконг, по аннотации)",ПО визуальной обратной связи Sing & See для самостоятельной практики,4,https://doi.org/10.1111/jcal.12046,,Улучшение тембра в экспериментальных группах; большинство участников в анкете положительно оценили VFT для самостоятельной тренировки. Прочитана только аннотация
Current Attitudes Toward Voice Studio Teaching Technology: A Bicoastal Survey of Classical Singing Pedagogues,"Barnes-Burroughs K., Lan W.Y., Edwards E., Archambeault N.",2008,Journal of Voice 22(5),Опрос,"педагоги классического вокала, восточное и западное побережье США (N из аннотации неясно)",Использование технологий в вокальной студии и готовность педагогов,4,https://doi.org/10.1016/j.jvoice.2006.12.004,,"Педагоги ранжируют факторы, мешающие/способствующие внедрению технологий (спектрография сложна, «студия и так работает»). Ключевое для понимания сопротивления педагогов инструментам. Только аннотация"
Novice Voice Teacher Decision Making: A Multiple Case Study in Musical Theater Voice Pedagogy,"Harrell, Joseph",2021,"PhD dissertation, Penn State University (ERIC ED642796, ProQuest 29050562)","Multiple case study: three journals, three interviews per participant, about 8–10 hours of observed teaching per participant",USA: 3 novice musical theater voice teachers (first three years of teaching) from different backgrounds,How beginning voice teachers make decisions in lessons; there is no standard path into voice teaching,4,http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:29050562,,Shows that voice teachers often start without pedagogical training and rely on their own experience. This supports a hypothesis about demand for structure and tools among young teachers. Only the ERIC abstract was available; open full text was not found.
The Prevalence and Correlates of Accurate Singing,"Peter Q. Pfordresher, Steven M. Demorest",2020,Journal of Research in Music Education,Онлайн-тестирование точности пения (Seattle Singing Accuracy Protocol) и демографическая анкета с музыкальной самооценкой,632 добровольца из общей популяции (онлайн),"Насколько распространено точное пение, связь с самооценкой, обучением и возрастом",3,https://doi.org/10.1177/0022429420951630,https://ubwp.buffalo.edu/apal-pfordresher/wp-content/uploads/sites/79/2022/01/PfordresherDemorest_2021_JRME.pdf,"PDF автора открыт (200), выводы взяты из аннотации. Точность пения сильно варьирует, но большинство поёт точно. Самовосприятие, обучение и возраст независимо связаны с точностью. Количественный противовес мифу «я не умею петь»."
Studio Piano Teaching in Australia: An Exploration of the Teaching Materials and Practices Used by Teachers for Older Beginner Piano Students,"Burrows J., Brown J.",2020,Australian Journal of Music Education (ERIC EJ1272179),анонимный опрос,"239 частных (studio) педагогов фортепиано, Австралия/Австралазия",материалы и практики обучения начинающих подростков 12–17 лет,3,https://eric.ed.gov/?id=EJ1272179,https://files.eric.ed.gov/fulltext/EJ1272179.pdf,Как частные педагоги выбирают материалы и оценивают их слабые места для «поздних» начинающих — пример проблем с содержанием уроков в студии. PDF открывается (HTTP 200).
Measuring parental involvement as parental actions in children's private music lessons in China,Cui (инициал в Crossref не указан),2023,Frontiers in Psychology,"опрос, разработка шкалы (EFA/CFA)","894 родителя детей 5–12 лет, 20 провинций Китая","уровни участия родителей в частных уроках (проактивность, пассивность, избегание)",3,https://doi.org/10.3389/fpsyg.2022.1061765,https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2022.1061765/full,Даёт типологию родительского участия именно в частных уроках; полезна для сегментации родителей. Рынок не англоязычный. Открытый доступ (HTTP 200).
"Practice, Performance, and Anxiety: A Pilot Study on Student Perception of Parental Involvement and Formal Music Lessons","Ryan C., Boucher H., Ryan G.",2023,Music & Science,"опрос (анкеты, шкалы тревожности и самооценки)",62 ученика фортепиано 11–17 лет; страна из аннотации неясна,"участие родителей, время практики, сценическая тревожность",3,https://doi.org/10.1177/20592043221145000,https://doi.org/10.1177/20592043221145000,"Музыкальное образование самих родителей связано с тревожностью ребёнка на сцене; значимы также возраст, самооценка и время практики. Unpaywall отмечает открытый доступ, но WebFetch получил 403 от SAGE, поэтому текст не прочитан."
"""The Children Are Not Okay"": Choir Teachers' Perceptions of Students Post Shutdowns",Thomas J. Rinn,2025,Journal of Music Teacher Education,"качественное исследование (интервью, учебный год 2021–2022)","3 учителя хора старшей школы, США","хоры K-12 после COVID: отток учеников, потеря навыков, психологическое состояние, технологии",3,https://doi.org/10.1177/10570837241238355 (ERIC EJ1457088),https://journals.sagepub.com/doi/pdf/10.1177/10570837241238355?download=true,"Темы исследования: страх оттока учеников, потеря навыков, психологические последствия, неравенство, новые способы использовать технологии в хоре. Годится для гипотез об удержании участников и цифровых инструментах в школьном хоре. Прочитана только аннотация."
"A Survey of Elementary and Secondary Music Educators' Professional Background, Teaching Responsibilities and Job Satisfaction in the United States","Wendy K. Matthews, Karen Koner",2017,Research & Issues in Music Education 13(1),крупный опрос (49 пунктов),"7463 музыкальных педагога K-12, члены NAfME, 2015–2016, США",рабочая нагрузка и удовлетворённость работой музыкальных педагогов,3,https://commons.lib.jmu.edu/rime/vol13/iss1/2/,https://commons.lib.jmu.edu/cgi/viewcontent.cgi?article=1071&context=rime,Самая большая выборка по теме. Описывает профиль учителя (89% в государственных школах) и связь удовлетворённости с вовлечённостью учеников. Годится как база для оценки рынка и сегментации. Страница открывается через WebFetch; PDF через curl отдаёт 403 (защита от ботов). Сам PDF не читался.
Conservatory Students' Music Performance Anxiety and Educational Expectations: A Qualitative Study,"Hepsen Okan, Buse Usta",2021,Asian Journal of Education and Training,"качественное исследование (полуструктурированные интервью, контент-анализ)","студенты консерватории, классическая западная музыка, Турция; число участников из аннотации неясно",экзамены перед комиссией (juries) и сценическая тревожность,3,https://eric.ed.gov/?id=EJ1321985,https://files.eric.ed.gov/fulltext/EJ1321985.pdf,"Главная причина сценической тревожности — негативная оценка, отношение и поведение комиссии на экзаменах и прослушиваниях. Прямо про боль экзаменов перед комиссией. PDF открывается (HTTP 200). Выборка не англоязычная."
Using mobile applications in the study of vocal skills,Han Y.,2022,Education and Information Technologies,Эксперимент (3 группы: традиционно / +Vox Tools / +Swiftscales),"177 студентов вокала 18–23 лет, 3 вуза Китая, 2020–2021",Мобильные приложения для вокала,3,https://doi.org/10.1007/s10639-022-11268-1,https://pmc.ncbi.nlm.nih.gov/articles/PMC9374284/,"Группы с приложениями опередили контроль на 4–8%. Нет данных о восприятии студентами (опросов/интервью нет) — слабее для болей, но полезно как доказательство эффекта приложений"
Exploring the Influence of the Pivot to Online Instrumental Lessons During the COVID-19 Pandemic on Chinese Music Students in a U.K. University,Xia J.,2021,International Journal of Innovations in Online Education,Полуструктурированные интервью,"5 магистрантов-исполнителей (фортепиано, вокал/флейта), китайцы, вуз Великобритании","Онлайн-уроки, автономная практика, запись себя",3,https://doi.org/10.1615/IntJInnovOnlineEdu.2021039138,https://onlineinnovationsjournal.com/streams/course-design-and-development/5c8f4c56145058ea.html,"Задержки сети, отсутствие аккомпанемента; рост автономии и привычки записывать себя. Цитата: ""I record the whole piece while I am practicing, and then listen to it repeatedly...listening to my own recording captured details that I did not notice."" (P2). Малая выборка"
Investigating Virtual Teaching Experiences: Perspectives of Undergraduate Student Teachers in Singing and Choral Techniques,Ngobeni N.C.,2024,"International Journal of Learning, Teaching and Educational Research 23(2)","Глубинные интервью, тематический анализ (TAM)","30 студентов 3 курса модуля «Singing and Choral Techniques», Восточная Капская провинция, ЮАР",Онлайн-обучение пению в вузе,3,https://doi.org/10.26803/ijlter.23.2.9,https://ijlter.org/index.php/ijlter/article/view/9403,Мотивацию онлайн поддерживают управление временем и интерактивность; нужна поддержка и обучение педагогов. Страница статьи с PDF открыта (прямой PDF отдал 406 на curl); цитаты не извлечены
Finding the Rhythm: Teaching Choral Music during the COVID-19 Pandemic,"Hassman B., Carlson K., Smith M.H., Fox D., Dargin T., Tu A., Dowdall J.",2023,ERIC EJ1382158 (журнал см. в записи ERIC),Качественное исследование (голоса педагогов),"хормейстеры старших школ, США (N из аннотации неясно)",Хоровое обучение в пандемию: трудности и неожиданные плюсы,3,https://eric.ed.gov/?id=EJ1382158,https://files.eric.ed.gov/fulltext/EJ1382158.pdf,"Смена учебных планов, эмоциональные нужды учеников, инновации для пост-пандемийного обучения. PDF открывается (HTTP 200), но текст извлечь не удалось — только аннотация"
What We Can Learn from the 2020 MTNA Member Survey,"Klingenstein, Beth Gigante",2023,"MTNA Business Digest, Vol. 2, Issue 4","Secondary analysis of the 2020 MTNA member survey, compared with 2005","USA, MTNA members; sample size not stated in the article","Economics of the private teacher: rates, income, how often rates are raised, top concerns",3,https://www.mtna.org/Learn.html,https://www.mtna.org/Learn.html,"Average 60-minute rate in 2019–20 was $56.58, flat in real terms since 2005. Only 11.4% raise rates every year. 51.78% earn under $25k gross a year, and two-thirds work part-time. The top 2020 concerns were overscheduled students, student motivation and public health. Confirms low income and weak pricing power among independent teachers."
American Attitudes Toward Making Music (Gallup survey for NAMM),Gallup Organization for NAMM,2009,NAMM press release,"Telephone survey, margin of error ±3 points","USA: 1,000 respondents aged 12+, Feb–Mar 2009","Adult demand to learn music, barriers",3,https://www.namm.org/news/press-releases/new-gallup-survey-namm-reflects-majority-americans-agree-many-benefits-playing,https://www.namm.org/news/press-releases/new-gallup-survey-namm-reflects-majority-americans-agree-many-benefits-playing,"85% of non-players wish they had learned to play, 69% would like to learn, and 96% believe musical skills can be learned at any age. The main barriers are lack of time (40%) and other interests (26%). This is the source of the widely cited demand figures for adult beginners. It covers instruments, not singing, and the data are old (2009). Only the press release was found, not the full report."
Vocal Pedagogy Training for Vocal Music Education Students,"Hinds, Melissa N.",2025,"PhD dissertation (Music Education), Liberty University","Qualitative grounded theory: survey, structured interviews, rehearsal observations, focus group",USA: secondary-school choir teachers; exact number not clear from the landing page,Choir teachers' preparation in voice pedagogy; applying it in rehearsals,3,https://digitalcommons.liberty.edu/doctoral/7829,https://digitalcommons.liberty.edu/cgi/viewcontent.cgi?article=8888&context=doctoral,"The central problem it states: choir teachers enter the profession with insufficient vocal pedagogy training to teach their ensembles adequately. Relevant to the institutions segment (K-12 choirs). The PDF link is on the repository page (curl returns 403, bot protection)."
"My Body, My Instrument: How Body Image Influences Vocal Performance in Collegiate Women Singers","Brown, Kirsten Shippert",2021,"EdD dissertation, Teachers College, Columbia University (ERIC ED666761)","Qualitative, feminist framework: focus group, month-long audio diaries after practice sessions, lessons and performances, and individual interviews",USA: 4 collegiate women singers (classical),"Body image, self-objectification and their effect on singing; emotional side of lessons",3,https://academiccommons.columbia.edu/doi/10.7916/d8-d9mv-ha05,https://academiccommons.columbia.edu/doi/10.7916/d8-mky8-jd82/download,"Documents singers' sense of a split between their 'everyday body' and their 'singer's body', leading to restriction, unawareness and inconsistency in singing. Relevant to self-image of the voice and emotional barriers. Full-text PDF opens (200, application/pdf)."
"""I Am Unmusical!"": The Verdict of Self-Judgement","Eve Ruddock, Samuel Leong",2005,International Journal of Music Education,Кейс-стади (интервью),"4 взрослых немузыканта (юрист, преподаватель педвуза, учитель, госслужащий); Австралия",Самоярлык «немузыкальный» и отказ от занятий музыкой,3,https://doi.org/10.1177/0255761405050927,,Прочитана только аннотация (ERIC EJ845414). Главное последствие самооценки — человек лишает себя активного музицирования. Цитат нет.
The Role of Choral Singing in the Lives of Amateur Choral Singers in Iceland,"Sigrun Lilja Einarsdottir, Helga Rut Gudmundsdottir",2016,Music Education Research 18(1),Бумажный опрос,Участники 10 любительских хоров; Исландия (n в аннотации не указано),Мотивация взрослых любителей,3,https://doi.org/10.1080/14613808.2015.1049258,,"Прочитана только аннотация. Сильнейшие мотиваторы — личное удовольствие от пения и позитивная социальная атмосфера; различия по полу, возрасту и образованию."
Stylistic Pluralism and the Experiences of Classically Trained Teachers of Singing in the Republic of Ireland,"Fahey, Hannah",2021,International Journal of Music Education (ERIC EJ1303814),Глубинные качественные интервью,"Педагоги вокала с классическим образованием, Ирландия; число в аннотации не указано",Содержание урока: классика vs мюзикл/поп (CCM),3,https://doi.org/10.1177/0255761421991247,,"Показывает, как педагоги-классики переносят неявные классические установки на преподавание популярного вокала. Это даёт контекст для пробелов в содержании урока и языке обратной связи в CCM-жанрах."
Learning a musical instrument: The influence of interpersonal interaction on outcomes for school-aged pupils,"Creech A., Hallam S.",2011 (онлайн 2010),Psychology of Music 39(1),опрос,"337 учеников-скрипачей, Великобритания","контроль и отзывчивость в отношениях с педагогом и родителями и результаты обучения (самооценка, самоэффективность, удовольствие)",3,https://doi.org/10.1177/0305735610370222,,Количественная связь стиля взаимодействия педагог/родитель–ученик с мотивацией и результатами. Полный текст закрыт (Unpaywall: not OA).
"Transitioning from Student to Teacher in the Master-Apprentice Model of Piano Pedagogy: An Exploratory Study of Challenges, Solutions, Resources, Reflections, and Suggestions for the Future",Slawsky M.M.,2011,"диссертация, ProQuest (ERIC ED533403)",полуструктурированные интервью,"12 педагогов фортепиано разного возраста и стажа, США","как учатся преподавать, трудности, нужные навыки (в т. ч. бизнес)",3,https://eric.ed.gov/?id=ED533403,,"По выдаче поиска: педагоги подчёркивают, что для успешной студии нужны бизнес-навыки, которым их не учили. Это подтверждает боль «я музыкант, а не бизнесмен». Полного текста в ERIC нет."
A Phenomenological Study of the Experiences and Teaching Strategies of Private Music Instructors Working with Elementary School Students,Fusu-Kommidi A.M.,2023,"диссертация, ProQuest (ERIC ED636842)",качественное феноменологическое исследование (интервью),"частные музыкальные педагоги детей младшего школьного возраста, США (Калифорния); число из аннотации неясно",опыт и стратегии частных педагогов,3,https://eric.ed.gov/?id=ED636842,,"Свежая работа об опыте частных педагогов США, которые восполняют пробелы школьного музыкального образования. Полного текста в ERIC нет."
Teachers' Opinions of Student Dropout from Formal Music Education Centres of the Canary Islands,"Lorenzo Socorro S., Escandell Bermúdez M.O., Castro Sánchez J.J.",2016,Music Education Research (ERIC EJ1108632),опрос (анкета),"185 педагогов формальных музыкальных центров, Канарские острова (Испания)",причины отсева и стратегии его предотвращения глазами педагогов,3,https://eric.ed.gov/?id=EJ1108632,,Педагоги видят большое влияние учителя на результаты ученика и важность мотивации для профилактики отсева. Это взгляд преподавателей на удержание. Контекст — не частные студии. Полный текст закрыт.
A Phenomenological Exploration of the Co-Teaching Experiences of Associate Choir Teachers in Texas,"Jessica Nápoles, Jamey F. Kelley, Julianna LoBiondo",2024,Journal of Music Teacher Education,"качественное исследование (дескриптивная феноменология, по 2 интервью с каждым участником за 4 месяца)","12 ассоциированных дирижёров хора средней и старшей школы со стажем в должности от 3 лет, Техас, США","организация хоровых программ, иерархия и наставничество",3,https://doi.org/10.1177/10570837231216723 (ERIC EJ1423791),,"Три темы: совместимость с главным дирижёром, наставничество, иерархия. Показывает, кто в хоровой программе принимает решения, а это роли будущих покупателей и пользователей. Прочитана только аннотация."
Investigating Burnout among Elementary and Secondary School Music Educators: A Replication,H. Christian Bernhard II,2016,Contributions to Music Education,опрос (шкала выгорания),258 школьных музыкальных педагогов из ассоциации одного штата на северо-востоке США,выгорание музыкальных педагогов,3,https://eric.ed.gov/?id=EJ1102834,,"Сильнее всего выгорают начинающие учителя и те, кто совмещает общую музыку, хор и оркестр или работает сразу на нескольких ступенях. Это подсказывает, для какого сегмента учителей экономия времени на оценивании особенно ценна. Прочитана только аннотация."
Development of Real-Time Visual Feedback Assistance in Singing Training: A Review,"Hoppe D., Sadakata M., Desain P.",2006,Journal of Computer Assisted Learning 22(4),"Обзор (4 системы: SINGAD, ALBERT, Sing & See, WinSINGAD и их оценки)","обзор, нет собственной выборки",Визуальная обратная связь в реальном времени,3,https://doi.org/10.1111/j.1365-2729.2006.00178.x,,Базовый обзор эффективности и пользовательской оценки ПО визуальной обратной связи — точка отсчёта для функций приложения. Только аннотация
Preservice Music Educators' Perceptions of Online Synchronous Fieldwork: A Case Study,Mercado E.M.,2023,Journal of Music Teacher Education 32(2),"Инструментальный кейс (качественный, рамка Community of Inquiry)","будущие учителя музыки, дающие онлайн-уроки вокала школьникам, США (N из аннотации неясно)",Синхронные онлайн-уроки вокала детям,3,https://doi.org/10.1177/10570837221124839,,Технические трудности синхронного формата мешали дойти до интеграции/решения задач на уроке. Только аннотация
"A Mixed Methods Exploration of Perfectionism, Stress, and Burnout among PreK-12 Music Educators in the United States","Paetz, Allison Mella",2024,"PhD dissertation (ERIC ED657979, ProQuest 31358097)","Mixed methods: national survey (stress, burnout, perfectionism) plus a phenomenology built from written narratives and semi-structured interviews",USA: national sample of preK-12 music teachers; exact number not clear from the abstract,Burnout among music teachers,3,https://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:31358097,,Finds a strong link between perfectionistic concern and emotional exhaustion. Perfectionism decreases with age and experience. Relevant to the institutional segment and to teacher burnout. Only the abstract was available.
"Musical Theater Education: Alumni Perceptions on the Integration of Musical Theater Vocal Pedagogy, Technique, and Repertoire within Voice Programs at Ohio Public Universities","Schmidt, Alexandria R.",2022,"Dissertation (ERIC ED648125, ProQuest 29444579)",Survey (pilot),USA (Ohio): 24 alumni of university voice programs,University voice studios: shortage of CCM/musical theater teaching,3,http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:29444579,,"Alumni are dissatisfied with the amount of musical theater in voice programs, and those interested in musical theater felt discouraged. Supports the LoVetri & Weekly (2003) finding that most voice teachers teach musical theater without training in it. Small sample; abstract only."
